,Job,Salary_Begin,Salary_End,Hourly,Monthly,Yearly,Company,Rating,Posted_Date,Posted_Month,Type,Benefits,Qualifications,Job Link,Job_simp,Job_seniority,Location_type,num_Qualifications,num_Benefits,Salary_Average,num_Type,Date_Posted_Complete
10,Data Technician,45600.0,57800.0,0.0,0.0,1.0,Land Intelligence Inc,,4.0,10.0,Full-time,"visioninsurance,paidtimeoff,profitsharing,401(k)matching,healthinsurance,dentalinsurance,401(k),lifeinsurance","microsoftexcel,powerbi,communicationskills,sql,bachelor'sdegree,datavisualization,analysisskills,tableau,computerscience",https://www.simplyhired.com/job/4A6iwkZM-R1QGJ_HgEKP8zZ-DzLMeDXfKhcTjj_5Y2ya8V2mP4z-HA,Others,,Remote,9,8,51700.0,1,4/10/2023
11,Software Engineer,80100.0,101000.0,0.0,0.0,1.0,Tree Top Staffing LLC,,6.0,10.0,Full-time,nan,"databases,communicationskills,under1year,softwaretroubleshooting,bachelor'sdegree,analysisskills,relationaldatabases,computerscience",https://www.simplyhired.com/job/PNemYniB7PNCeutoflztqHuaBv_d5D3Asm-RL_cRJoZWGXC7NmYGAA,Software Engineer,,Remote,8,0,90550.0,1,6/10/2023
12,Data Analyst,,,,,,ScribeAmerica,3.1,23.0,9.0,Full-time,nan,"datamodeling,statistics,microsoftexcel,kafka,mysql,azure,tableau,scripting,warehouseexperience,redshift,sql,bachelor'sdegree,analytics,apachehive,computerskills,python,datawarehouse,postgresql,cassandra,etl,computerscience,regressionanalysis",https://www.simplyhired.com/job/97Ac1Cv7aTQkAzd_cvXunvbowI6B0s4GIX0VArcVB7M6SJFdM9vUOA,Analyst,,Remote,22,0,,1,23/9/2023
13,Manual Tester,65000.0,105000.0,0.0,0.0,1.0,GeekSI,5.0,,,Full-time,"visioninsurance,paidtimeoff,401(k)matching,healthinsurance,dentalinsurance,401(k),lifeinsurance","jira,business,apis,informationsystems,sdlc,agile,webservices,microsoftoffice,scrum,businessadministration,1year,it,azure,master'sdegree,bachelor'sdegree,2years,masterofbusinessadministration,computerscience",https://www.simplyhired.com/job/EdGyMaLirMShgMkk_wQRvqzK1vLiyyDc18qkvHx-k5iqYx7sHT1bhQ,Others,,Remote,18,7,85000.0,1,nan
14,Data Solutions Analyst II,44000.0,63500.0,1.0,0.0,0.0,HealthEquity,3.7,6.0,10.0,Full-time,"gymmembership,wellnessprogram,visioninsurance,healthsavingsaccount,flexiblespendingaccount,paidtimeoff,paidparentalleave,401(k)matching,tuitionreimbursement,healthinsurance,dentalinsurance,401(k),parentalleave","oracle,microsoftsqlserver,engineering,1year,it,datamanagement,sql,editing,computerscience,associate'sdegree",https://www.simplyhired.com/job/18mUVdx-eUF_YMlzcd_1UTODOnsrqCZnV_BJ2VbhJ432jwT381-8jg,Analyst,,Remote,10,13,53750.0,1,6/10/2023
15,Entry Level Data Analyst,83000.0,105000.0,0.0,0.0,1.0,CORMAC,3.0,22.0,9.0,nan,flexibleschedule,"machinelearning,datascience,distributedsystems,11+years,r,statistics,java,databases,c++,analysisskills,associate'sdegree,it,sas,sql,bachelor'sdegree,computerskills,python,hadoop,agile,master'sdegree,relationaldatabases,computerscience",https://www.simplyhired.com/job/NWV9zwmUJ85_XLOoOeZTJsrnmE8nPVyW77Xo4RXG2XPu788WBd8TqQ,Analyst,junior,Remote,22,1,94000.0,0,22/9/2023
16,Applications Analyst I,63300.0,80200.0,0.0,0.0,1.0,CCMR3,1.0,,,Full-time,nan,"technicalsupport,communicationskills,softwaretroubleshooting,sql,bachelor'sdegree,softwaredevelopment,computerscience",https://www.simplyhired.com/job/GPR6xk8fTdodMiEVtP0KHc7xoBdRELZn-0XQw1CY6lNknz32bbeO4w,Analyst,,Remote,7,0,71750.0,1,nan
17,Regional Data Integration Specialist I,46400.0,63750.0,0.0,0.0,1.0,Renaissance,3.4,6.0,10.0,Full-time,"visioninsurance,disabilityinsurance,flexiblespendingaccount,paidtimeoff,401(k)matching,tuitionreimbursement,employeeassistanceprogram,healthinsurance,401(k),parentalleave","1year,databases,sql,customerservice,relationaldatabases,computerscience,associate'sdegree",https://www.simplyhired.com/job/qW5Wt9wjHEjWo_ju69a9s1lXZqpW2i3rlLAvBaIRy0SX2fGftVMR2w,Others,,Remote,7,10,55075.0,1,6/10/2023
18,Technical Support Expert - Level 1 - Remote Monitoring and Management (RMM) - (6am - 230pm),64800.0,82100.0,0.0,0.0,1.0,Kaseya Careers,3.8,26.0,9.0,nan,nan,"business,customersupport,virtualization,businessadministration,computernetworking,activedirectory,itinfrastructure,windows,it,operatingsystems,bachelor'sdegree,computerliteracy,linux,computerscience,shellscripting,associate'sdegree",https://www.simplyhired.com/job/kx1ZXnsw-ox7OVtY0H-snTwDZvl42pVaXMExUQEP6Tj5NuoecG_Mfg,Others,senior,Remote,16,0,73450.0,0,26/9/2023
19,Software Tester,110000.0,120000.0,0.0,0.0,1.0,"WhirlWind Technologies, LLC",4.3,30.0,9.0,Full-time,nan,"jira,java,javascript,react,softwaretesting,mysql,master'sdegree,bachelor'sdegree,vpn,computerscience,management",https://www.simplyhired.com/job/si0ZxFsCWpHqSAMz2ql_9NQcTRcBKi_h53dOdmC6rwsQGM-No3AjrA,Others,,Remote,11,0,115000.0,1,30/9/2023
20,Junior Developer,57100.0,72200.0,0.0,0.0,1.0,"Technology Solutions Provider, Inc.",,,,Full-time,nan,"git,organizationalskills,applicationdevelopment,java,agile,communicationskills,computerscience",https://www.simplyhired.com/job/XH46FKBRkAGlNw14y4ZK0P5i__RcYRSTa0Zyh94k88S0aFS-QOpDXQ,Software Developer,junior,Remote,7,0,64650.0,1,nan
21,Selenium (Manual/Automation Tester) - Fresher,83100.0,105000.0,0.0,0.0,1.0,H2kinfosys,4.5,,,Full-time,nan,"sdlc,qualityassurance,communicationskills,softwaretesting,selenium,softwarequalityassurance",https://www.simplyhired.com/job/OXlKY31AekFyembufRqOTHEGxvMvMF_6Yk8GsGBAW_r1dRHZXyr7AA,Others,,Remote,6,0,94050.0,1,nan
22,Customer Support Specialist (Remote),65000.0,110000.0,0.0,0.0,1.0,CrowdStrike,3.5,6.0,10.0,Full-time,"healthinsurance,paidparentalleave,parentalleave","salesforce,writingskills,customerrelationshipmanagement,agile,customersupport,lms,leadership,military,helpdesk,communicationskills,it,under1year,projectmanagementsoftware,bachelor'sdegree,analysisskills,timemanagement,management,informationsecurity",https://www.simplyhired.com/job/V5ePB9FMuz811GQfbgZqbLyIXyM3oUM5D1H7wdYrbqly3hIHStZVPA,Others,senior,Remote,18,3,87500.0,1,6/10/2023
23,Technical Support Engineer,73200.0,92600.0,0.0,0.0,1.0,Fyusion,,,,Full-time,"commuterassistance,visioninsurance,unlimitedpaidtimeoff,healthinsurance,dentalinsurance","bachelorofscience,machinelearning,english,2years,technicalsupport,bachelor'sdegree,analysisskills,itsupport,computerscience",https://www.simplyhired.com/job/er3SSvdCNMd3cw7c1FkPEbUMSMzQ9A3PDBCbWoJG2V_jNZWAB9Wq0w,Others,,Remote,9,5,82900.0,1,nan
24,Solution Consultant -HR,68195.0,98038.0,0.0,0.0,1.0,UKG (Ultimate Kronos Group),4.0,30.0,9.0,Full-time,tuitionreimbursement,"humanresources,informationsystems,webservices,communicationskills,payroll,bachelor'sdegree,2years,computerscience,management",https://www.simplyhired.com/job/HZDMAxnK6gmyfFMy7dP4tfEXAwlfwEkCdvO6tXc0lSWaHWNzW1GbZQ,Others,,Remote,9,1,83116.5,1,30/9/2023
25,IT Application Specialist – Healthcare,,60000.0,0.0,0.0,1.0,CareXM,3.5,,,nan,"paidtraining,visioninsurance,paidtimeoff,healthinsurance,dentalinsurance,401(k),employeeassistanceprogram,lifeinsurance","communicationskills,it,softwaretroubleshooting,bachelor'sdegree,customerservice,2years,computerskills,computerscience",https://www.simplyhired.com/job/5mPD_k6P1s9vbBRmDoCd2-WZnQOEZVCQTPPkMQCgbyyCkEc7XWthww,IT Engineer,,Remote,8,8,,0,nan
26,QA Analyst,65600.0,83100.0,0.0,0.0,1.0,iPipeline,3.2,,,Full-time,"wellnessprogram,paidtimeoff,employeestockpurchaseplan,401(k),lifeinsurance","computerskills,computerscience",https://www.simplyhired.com/job/ZdkhI3jddQ4aRPy7uDKesT77FaS2Igqg11DZuDNNyFgzHxKWfoUP5w,Analyst,,Remote,2,5,74350.0,1,nan
27,Manual Tester,96000.0,105000.0,0.0,0.0,1.0,Privateer IT,,23.0,9.0,Full-time,"visioninsurance,paidtimeoff,401(k)matching,tuitionreimbursement,healthinsurance,employeediscount,dentalinsurance,referralprogram,401(k),lifeinsurance","jira,sdlc,2years,agile,testcases,conflictmanagement,testautomation,communicationskills,computerengineering,selenium,bachelor'sdegree,3years,softwaredevelopment,computerscience",https://www.simplyhired.com/job/q1JyNIuRe645O4Y_X-gnhB6GzCMIU0UAeHfQali4bk9z9JBtKoN-ig,Others,,Remote,14,10,100500.0,1,23/9/2023
28,Software Tester,100000.0,110000.0,0.0,0.0,1.0,"Nationwide IT Services, Inc",3.2,,,Full-time,"commuterassistance,visioninsurance,disabilityinsurance,paidtimeoff,flexibleschedule,401(k)matching,tuitionreimbursement,healthinsurance,dentalinsurance,401(k),petinsurance,employeeassistanceprogram","jira,english,sdlc,continuousintegration,agile,responsivewebdesign,scrum,testautomation,communicationskills,selenium,kanban,drupal,bachelor'sdegree,webaccessibility,nis,computerscience",https://www.simplyhired.com/job/TNluQao6yfYybBnYcjkOe56UFjwlV6G-XnIVPrxNdU8V9uzg6OlakQ,Others,,Remote,16,12,105000.0,1,nan
29,Associate Software Engineer,76000.0,110000.0,0.0,0.0,1.0,PAR,3.7,27.0,9.0,nan,nan,"agile,c#,asp.net,communicationskills,bachelor'sdegree,pos,analysisskills,3years,debugging,softwaredevelopment,computerscience,.net",https://www.simplyhired.com/job/oS5Md33FqC9REas9gVov1HRknuBy0MI7uv9IRPuM1-LTFtAzOaGsrQ,Software Engineer,,Remote,12,0,93000.0,0,27/9/2023
30,Help Desk - Technical Support Engineer,57500.0,72800.0,0.0,0.0,1.0,Verisma,2.4,,,Full-time,nan,"bachelorofscience,technicalsupport,linux,macos,communicationskills,softwaretroubleshooting,windows,bachelor'sdegree,mobiledevices,remoteaccesssoftware,computerscience",https://www.simplyhired.com/job/_Vkv9rjNEs5e1YcHTqkp8fQ3HMHSFiwt-icauuqXIW11g8lu0U89jg,Others,,Remote,11,0,65150.0,1,nan
31,Desktop Engineer,75000.0,90000.0,0.0,0.0,1.0,ConcertoCare,2.5,,,Full-time,"401(k),healthinsurance,401(k)matching","dns,virtualization,intune,communicationskills,it,softwaretroubleshooting,windows,activedirectory,bachelor'sdegree,3years,computerscience,dhcp",https://www.simplyhired.com/job/U8R5LrdjdxO67EwWamBSmv3g2bQzxZLfcvH_A5R2mhW_cvWeJcS9yQ,Others,,Remote,12,3,82500.0,1,nan
32,Desktop Support Analyst (Remote - PA),59300.0,75000.0,0.0,0.0,1.0,"Cayuse Commercial Services, LLC",4.5,30.0,9.0,Full-time,nan,"microsoftexcel,computerskills,microsoftoffice,computerscience,communicationskills,bachelor'sdegree,analysisskills,sharepoint,highschooldiplomaorged,microsoftword,microsoftpowerpoint,7years",https://www.simplyhired.com/job/Tolzxq42vDPQ-jEazdIvYgaryXtKotCVkSbJ3DMYtbgwkVzdU6nqXw,Analyst,,Remote,12,0,67150.0,1,30/9/2023
33,IT Support Engineer,57500.0,72800.0,0.0,0.0,1.0,Applied Research Works,2.5,,,nan,nan,"macos,activedirectory,softwaretroubleshooting,bachelor'sdegree,computerscience",https://www.simplyhired.com/job/FOYMb4apZwLZLwesRs5V2kq62_5B0_HL7-_LQLEd_mX3fT1r0UD8YA,IT Engineer,,Remote,5,0,65150.0,0,nan
34,Data Analyst,,,,,,CDC Foundation,4.4,,,Full-time,nan,"microsoftexcel,mathematics,arcgis,dataanalytics,spss,economics,microsoftoffice,1year,communicationskills,datamanagement,sas,stata,master'sdegree,sql,tableau,bachelor'sdegree,r,cleaning",https://www.simplyhired.com/job/pBg5-OU4w6AaX6wwx4BPee7BIB7Xk4DZ3SYogsBGy1rgsudz2De-UQ,Analyst,,Remote,18,0,,1,nan
35,IT Data Analyst,66700.0,84500.0,0.0,0.0,1.0,Orthodontic Partners,,,,nan,nan,"microsoftexcel,datawarehouse,powerbi,sql,bachelor'sdegree,analysisskills,tableau,editing,2years,financialreportwriting",https://www.simplyhired.com/job/c70buCvjS8tcY4OaT4x5THUvVwVCuoJ2oSsZzsk3yZzR8T8Voo51JA,Analyst,,Remote,10,0,75600.0,0,nan
36,Software Quality Assurance Tester,77000.0,97500.0,0.0,0.0,1.0,Providencia Group,3.1,6.0,10.0,Full-time,nan,"c#,testautomation,customerservice,cucumber,microsoftexcel,asp.net,softwaretesting,qualityassurance,typing,communicationskills,bachelor'sdegree,softwarequalityassurance,computerskills,microsoftword,driver'slicense,microsoftoffice,selenium,5years,computerscience",https://www.simplyhired.com/job/Aty0ONGXAZQYLkzR_-pqZJPHULIQWcNmUQOBbuWS18hjvS4chJW3JQ,Quality Assurance Engineer,,Remote,19,0,87250.0,1,6/10/2023
37,QA Automation Engineer,92000.0,104000.0,0.0,0.0,1.0,Vetro Tech Inc,,28.0,9.0,Full-time,nan,"java,projectmanagement,visualbasic,1year,databases,communicationskills,softwaretroubleshooting,computerengineering,bachelor'sdegree,analysisskills,softwareengineering,computerscience",https://www.simplyhired.com/job/-7uEKT6_S6vo6HNIAmJUIYEL1iGWX5NK2oDjn3nomQYFoU-kxQqbWw,Others,,Remote,12,0,98000.0,1,28/9/2023
38,Document Specialist,80000.0,90000.0,1.0,0.0,0.0,Radiant.digital,,,,Contract,nan,"english,microsoftexcel,informationsystems,visio,microsoftoffice,communicationskills,it,technicalwriting,bachelor'sdegree,2years,computerscience",https://www.simplyhired.com/job/UAQ9foZFtsdXnbaKcP74i7LQZbEX5K4NCZUSCpczSPVfePWilBqX7Q,Others,,Remote,11,0,85000.0,1,nan
39,Data Scientist,95300.0,121000.0,0.0,0.0,1.0,Expertise France,3.7,,,nan,"visioninsurance,paidtimeoff,tuitionreimbursement,healthinsurance,dentalinsurance,401(k)","machinelearning,datavisualization,bachelor'sdegree,dataanalysisskills,python,r,datamining",https://www.simplyhired.com/job/irexAe9IzNI_w3XxpEJ5vQ4Qapuxf4xjzQP6Zz7-DKyPVQN9Hpcegw,Data Scientist,,Remote,7,6,108150.0,0,nan
40,Entry Level Software Developer,53900.0,68200.0,0.0,0.0,1.0,CORMAC,3.0,22.0,9.0,nan,nan,"datascience,microsoftexcel,java,javascript,systemdesign,c#,microsoftoffice,computerscience,softwaretroubleshooting,master'sdegree,bachelor'sdegree,microsoftword",https://www.simplyhired.com/job/f-q449tBCLGPri3xBjRusWWPpr1VlQ0Wf9fqhn20KkcIzTZzK9SkxA,Software Developer,junior,Remote,12,0,61050.0,0,22/9/2023
41,Legal Data Analyst,127075.0,149500.0,0.0,0.0,1.0,Coinbase,4.1,6.0,10.0,Full-time,"cellphonereimbursement,visioninsurance,disabilityinsurance,healthsavingsaccount,paidparentalleave,internetreimbursement,401(k)matching,healthinsurance,dentalinsurance,401(k),parentalleave,lifeinsurance","datascience,semanticweb,generalcounsel,datamanagement,sql,bachelor'sdegree,analysisskills,relationaldatabases,2years,python,r",https://www.simplyhired.com/job/wROtzoKld0HqCK-zoNFFRcBziBXls2dtloxbzoQYGNn17xTzDE1sgw,Analyst,,Remote,11,12,138287.5,1,6/10/2023
42,Remote Software Engineer,90000.0,130000.0,0.0,0.0,1.0,OnSpot Data,,,,Full-time,"paidtimeoff,flexibleschedule,healthinsurance,401(k),workfromhome,parentalleave","bachelorofscience,git,apis,designpatterns,aws,agile,1year,full-stackdevelopment,bachelor'sdegree,akka,softwaredevelopment,computerscience,scala",https://www.simplyhired.com/job/VGv5IwE_Fr28nP9ImqyZ8Siyhruha4UvkECqkg4oPGs2ZxyiYKm66w,Software Engineer,,Remote,13,6,110000.0,1,nan
43,Operations Associate,50000.0,65000.0,0.0,0.0,1.0,Yieldmo,4.0,,,nan,"paidtimeoff,401(k),401(k)matching","jira,microsoftoffice,googlesuite,bachelor'sdegree,dataanalysisskills,supplychainmanagement,timemanagement",https://www.simplyhired.com/job/8rCetuCFwreMR52p-rFHaOw8oQJxatoghoyFqaG8EARF7vUjJwB5FQ,Others,,Remote,7,3,57500.0,0,nan
44,Software QA Tester,98100.0,124000.0,0.0,0.0,1.0,CareMetx,3.0,22.0,9.0,nan,nan,"jira,writingskills,mongodb,continuousintegration,javascript,sdlc,testcases,microsoftoffice,nosql,jenkins,python,bachelor'sdegree,qualitymanagement,5years,computerscience,restfulapi",https://www.simplyhired.com/job/QQ003XVmqYaBJrFYZ0BYNCwLT3WcYtYZShpTufINNayTuO1nR1UF0Q,Others,,Remote,16,0,111050.0,0,22/9/2023
45,Quality Analyst Engineer I,51200.0,64800.0,0.0,0.0,1.0,Liberty University,3.8,26.0,9.0,Full-time,nan,"eclipse,powershell,testautomation,googlecloudplatform,sdlc,testcases,softwaretesting,azure,informationsystems,communicationskills,sql,bachelor'sdegree,tfs,jira,softwaredeployment,agile,selenium,softwaredevelopment,computerscience,visualstudio",https://www.simplyhired.com/job/xP4vZx-gy2Yf0huyVQgdJjBOxZJ8iwAfbSLrqEim3sPG3-_cr3iz1A,Analyst,,Remote,20,0,58000.0,1,26/9/2023
46,"IT Procurement Analyst (Remote, US)",73400.0,92900.0,0.0,0.0,1.0,Openly,5.0,4.0,10.0,nan,"visioninsurance,disabilityinsurance,flexiblespendingaccount,paidtimeoff,401(k)matching,healthinsurance,dentalinsurance,401(k),parentalleave,lifeinsurance","datascience,organizationalskills,communicationskills,it,bachelor'sdegree,negotiation,3years,computerscience,itsourcing",https://www.simplyhired.com/job/ZtTQ1gMXCpVFmrHRqhvHeXYuuXO2PK-vLKNckGqSC93qd36qNGnuiw,Analyst,,Remote,9,10,83150.0,0,4/10/2023
47,"Senior Analyst, Data & Analytics",85000.0,100000.0,0.0,0.0,1.0,A Place For Mom,4.1,29.0,9.0,Full-time,"visioninsurance,paidtimeoff,401(k)matching,healthinsurance,dentalinsurance,401(k)","informationsystems,googleanalytics,under1year,sql,tableau,analytics,python",https://www.simplyhired.com/job/BXkC1hjY9C70a6bz0m23XgnfQ0SJOEs4MwG66kizuSqBvOscxiVAVA,Analyst,senior,Remote,7,6,92500.0,1,29/9/2023
48,Clinicial Data Analyst,51638.0,86063.0,0.0,0.0,1.0,US Acute Care Solutions,3.4,,,Full-time,nan,"healthscience,communicationskills,datamanagement,bachelor'sdegree,computerscience",https://www.simplyhired.com/job/-S1zkSlqdS0KUiJLsdcOXkxL4GnCw6PaSV8Tn4QeOO70tF8YCNSJOQ,Analyst,,Remote,5,0,68850.5,1,nan
49,Support Engineer,80000.0,95000.0,0.0,0.0,1.0,Network Coverage,4.3,6.0,10.0,Full-time,"visioninsurance,flexiblespendingaccount,healthsavingsaccount,paidtimeoff,401(k)matching,healthinsurance,professionaldevelopmentassistance,dentalinsurance,referralprogram,401(k),parentalleave,lifeinsurance","vmware,sonicwall,aws,computernetworking,under1year,customerservice,googlecloudplatform,gpo,cybersecurity,virtualization,azure,supervisingexperience,activedirectory,microsoftwindowsserver,it,vsphere,bachelor'sdegree,sharepoint,computerskills,intune,computerscience",https://www.simplyhired.com/job/ij86mkl4QDdAsQbJhwah37kFLzZJcfzdJLpp5wzafvCAQoChJTqTig,Others,,Remote,21,12,87500.0,1,6/10/2023
50,Product Support Specialist,55000.0,60000.0,0.0,0.0,1.0,"ClassLink, Inc.",,,,Full-time,nan,"technicalsupport,customersupport,crmsoftware,1year,communicationskills,it,bachelor'sdegree,customerservice,analysisskills,computerscience,associate'sdegree,sso",https://www.simplyhired.com/job/cMwYknlGdvswEqTgs7Pqsd0SkKjqTtgul7SecJxS5EPIIUSpjYeyiA,Others,,Remote,12,0,57500.0,1,nan
51,Enterprise Support Specialist I,55100.0,69800.0,0.0,0.0,1.0,Feedonomics,4.9,29.0,9.0,Full-time,"adoptionassistance,visioninsurance,healthsavingsaccount,flexiblespendingaccount,unlimitedpaidtimeoff,tuitionreimbursement,employeeassistanceprogram,healthinsurance,dentalinsurance,referralprogram,401(k),petinsurance,parentalleave,lifeinsurance","xml,apis,technicalsupport,1year,googleanalytics,communicationskills,python,bachelor'sdegree,productmanagement,computerscience,management",https://www.simplyhired.com/job/GMvtEN9-wxtQEOQx3O6y1Co563MPyiesDQ2-LlVv5toWxf1xKEDn7g,Others,,Remote,11,14,62450.0,1,29/9/2023
52,Software Developer (Entry-Level),61200.0,77500.0,0.0,0.0,1.0,"Computer Information Systems, Inc.",4.0,,,Full-time,"paidtimeoff,healthinsurance,dentalinsurance,401(k),lifeinsurance","applicationdevelopment,agile,microsoftsqlserver,c#,communicationskills,oop,sql,master'sdegree,bachelor'sdegree,t-sql,softwaredevelopment,computerscience,visualstudio",https://www.simplyhired.com/job/uyMuslbU1EXgNwE7vyuFlLOjuINbOKNii8wpgiQrVmPeDmxAcDyfMg,Software Developer,junior,Remote,13,5,69350.0,1,nan
53,Data Insights Analyst,75000.0,85000.0,0.0,0.0,1.0,InMarket,4.5,,,nan,"flexiblespendingaccount,unlimitedpaidtimeoff,paidparentalleave,401(k)matching,healthinsurance,stockoptions,dentalinsurance,401(k),parentalleave","aws,under1year,datamodeling,googlecloudplatform,microsoftexcel,databases,mysql,bigdata,communicationskills,redshift,sql,bachelor'sdegree,dataanalysisskills,datavisualization,analytics,python,postgresql,agile,digitalmarketing",https://www.simplyhired.com/job/84hk7S6R0DXURyLmhRO6obhAQ4T4y_WyWRNugyT2BK9sHiLjc4hsFg,Analyst,,Remote,19,9,80000.0,0,nan
54,IT Security Analyst (remote),81300.0,135500.0,0.0,0.0,1.0,KANTAR,3.7,6.0,10.0,Full-time,"commuterassistance,wellnessprogram,visioninsurance,healthsavingsaccount,flexiblespendingaccount,unlimitedpaidtimeoff,401(k)matching,tuitionreimbursement,healthinsurance,401(k)","4years,jira,timemanagement,devops,agile,communicationskills,it,bachelor'sdegree,vulnerabilityassessment,computerscience,informationsecurity",https://www.simplyhired.com/job/lTy-B8aDbnFi0bjLsZPYp06G6BZj76y3zXtp3qU7Rdg-u4_EWq-Jdw,Analyst,,Remote,11,10,108400.0,1,6/10/2023
