,Job,Salary_Begin,Salary_End,Hourly,Monthly,Yearly,Company,Rating,Posted_Date,Posted_Month,Type,Benefits,Qualifications,Job Link,Job_simp,Job_seniority,Location_type,num_Qualifications,num_Benefits,Salary_Average,num_Type
23,Technical Support Engineer,73200.0,92600.0,0.0,0.0,1.0,Fyusion,,,,Full-time,"healthinsurance,commuterassistance,dentalinsurance,visioninsurance,unlimitedpaidtimeoff","english,bachelor'sdegree,technicalsupport,computerscience,analysisskills,machinelearning,itsupport,2years,bachelorofscience",https://www.simplyhired.com/job/er3SSvdCNMd3cw7c1FkPEbUMSMzQ9A3PDBCbWoJG2V_jNZWAB9Wq0w,Others,,,9,5,82900.0,1
24,Solution Consultant -HR,68195.0,98038.0,0.0,0.0,1.0,UKG (Ultimate Kronos Group),4.0,30.0,9.0,Full-time,tuitionreimbursement,"payroll,webservices,informationsystems,computerscience,management,humanresources,2years,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/HZDMAxnK6gmyfFMy7dP4tfEXAwlfwEkCdvO6tXc0lSWaHWNzW1GbZQ,Others,,,9,1,83116.5,1
25,IT Application Specialist – Healthcare,,60000.0,0.0,0.0,1.0,CareXM,3.5,,,nan,"healthinsurance,employeeassistanceprogram,paidtimeoff,dentalinsurance,lifeinsurance,visioninsurance,paidtraining,401(k)","computerskills,customerservice,it,computerscience,2years,communicationskills,bachelor'sdegree,softwaretroubleshooting",https://www.simplyhired.com/job/5mPD_k6P1s9vbBRmDoCd2-WZnQOEZVCQTPPkMQCgbyyCkEc7XWthww,IT Engineer,,,8,8,,0
26,QA Analyst,65600.0,83100.0,0.0,0.0,1.0,iPipeline,3.2,,,Full-time,"paidtimeoff,lifeinsurance,employeestockpurchaseplan,401(k),wellnessprogram","computerskills,computerscience",https://www.simplyhired.com/job/ZdkhI3jddQ4aRPy7uDKesT77FaS2Igqg11DZuDNNyFgzHxKWfoUP5w,Analyst,,,2,5,74350.0,1
27,Manual Tester,96000.0,105000.0,0.0,0.0,1.0,Privateer IT,,23.0,9.0,Full-time,"healthinsurance,tuitionreimbursement,401(k)matching,paidtimeoff,referralprogram,dentalinsurance,lifeinsurance,employeediscount,visioninsurance,401(k)","conflictmanagement,testautomation,computerengineering,testcases,agile,selenium,computerscience,jira,3years,sdlc,2years,softwaredevelopment,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/q1JyNIuRe645O4Y_X-gnhB6GzCMIU0UAeHfQali4bk9z9JBtKoN-ig,Others,,,14,10,100500.0,1
28,Software Tester,100000.0,110000.0,0.0,0.0,1.0,"Nationwide IT Services, Inc",3.2,,,Full-time,"healthinsurance,disabilityinsurance,tuitionreimbursement,employeeassistanceprogram,401(k)matching,commuterassistance,paidtimeoff,dentalinsurance,flexibleschedule,visioninsurance,petinsurance,401(k)","kanban,testautomation,english,scrum,continuousintegration,agile,selenium,computerscience,jira,sdlc,communicationskills,responsivewebdesign,bachelor'sdegree,nis,drupal,webaccessibility",https://www.simplyhired.com/job/TNluQao6yfYybBnYcjkOe56UFjwlV6G-XnIVPrxNdU8V9uzg6OlakQ,Others,,,16,12,105000.0,1
29,Associate Software Engineer,76000.0,110000.0,0.0,0.0,1.0,PAR,3.7,27.0,9.0,nan,nan,"pos,asp.net,agile,.net,c#,computerscience,3years,analysisskills,communicationskills,softwaredevelopment,debugging,bachelor'sdegree",https://www.simplyhired.com/job/oS5Md33FqC9REas9gVov1HRknuBy0MI7uv9IRPuM1-LTFtAzOaGsrQ,Software Engineer,,,12,0,93000.0,0
30,Help Desk - Technical Support Engineer,57500.0,72800.0,0.0,0.0,1.0,Verisma,2.4,,,Full-time,nan,"windows,bachelor'sdegree,technicalsupport,mobiledevices,computerscience,linux,remoteaccesssoftware,communicationskills,bachelorofscience,macos,softwaretroubleshooting",https://www.simplyhired.com/job/_Vkv9rjNEs5e1YcHTqkp8fQ3HMHSFiwt-icauuqXIW11g8lu0U89jg,Others,,Remote,11,0,65150.0,1
31,Desktop Engineer,75000.0,90000.0,0.0,0.0,1.0,ConcertoCare,2.5,,,Full-time,"healthinsurance,401(k),401(k)matching","windows,it,activedirectory,dns,computerscience,3years,communicationskills,bachelor'sdegree,virtualization,intune,dhcp,softwaretroubleshooting",https://www.simplyhired.com/job/U8R5LrdjdxO67EwWamBSmv3g2bQzxZLfcvH_A5R2mhW_cvWeJcS9yQ,Others,,,12,3,82500.0,1
32,Desktop Support Analyst (Remote - PA),59300.0,75000.0,0.0,0.0,1.0,"Cayuse Commercial Services, LLC",4.5,30.0,9.0,Full-time,nan,"computerskills,7years,microsoftword,microsoftoffice,microsoftexcel,computerscience,microsoftpowerpoint,highschooldiplomaorged,analysisskills,communicationskills,bachelor'sdegree,sharepoint",https://www.simplyhired.com/job/Tolzxq42vDPQ-jEazdIvYgaryXtKotCVkSbJ3DMYtbgwkVzdU6nqXw,Analyst,,Remote,12,0,67150.0,1
33,IT Support Engineer,57500.0,72800.0,0.0,0.0,1.0,Applied Research Works,2.5,,,nan,nan,"activedirectory,computerscience,bachelor'sdegree,macos,softwaretroubleshooting",https://www.simplyhired.com/job/FOYMb4apZwLZLwesRs5V2kq62_5B0_HL7-_LQLEd_mX3fT1r0UD8YA,IT Engineer,,,5,0,65150.0,0
34,Data Analyst,,,,,,CDC Foundation,4.4,,,Full-time,nan,"dataanalytics,spss,mathematics,microsoftoffice,microsoftexcel,arcgis,stata,sql,r,tableau,datamanagement,communicationskills,master'sdegree,cleaning,bachelor'sdegree,1year,economics,sas",https://www.simplyhired.com/job/pBg5-OU4w6AaX6wwx4BPee7BIB7Xk4DZ3SYogsBGy1rgsudz2De-UQ,Analyst,,,18,0,,1
35,IT Data Analyst,66700.0,84500.0,0.0,0.0,1.0,Orthodontic Partners,,,,nan,nan,"datawarehouse,microsoftexcel,sql,tableau,analysisskills,2years,bachelor'sdegree,powerbi,financialreportwriting,editing",https://www.simplyhired.com/job/c70buCvjS8tcY4OaT4x5THUvVwVCuoJ2oSsZzsk3yZzR8T8Voo51JA,Analyst,,,10,0,75600.0,0
36,Software Quality Assurance Tester,77000.0,97500.0,0.0,0.0,1.0,Providencia Group,3.1,6.0,10.0,Full-time,nan,"qualityassurance,microsoftword,selenium,driver'slicense,computerscience,communicationskills,softwarequalityassurance,asp.net,c#,5years,bachelor'sdegree,typing,microsoftoffice,microsoftexcel,softwaretesting,testautomation,computerskills,customerservice,cucumber",https://www.simplyhired.com/job/Aty0ONGXAZQYLkzR_-pqZJPHULIQWcNmUQOBbuWS18hjvS4chJW3JQ,Quality Assurance Engineer,,,19,0,87250.0,1
37,QA Automation Engineer,92000.0,104000.0,0.0,0.0,1.0,Vetro Tech Inc,,28.0,9.0,Full-time,nan,"java,computerengineering,bachelor'sdegree,visualbasic,computerscience,projectmanagement,analysisskills,communicationskills,softwareengineering,1year,databases,softwaretroubleshooting",https://www.simplyhired.com/job/-7uEKT6_S6vo6HNIAmJUIYEL1iGWX5NK2oDjn3nomQYFoU-kxQqbWw,Others,,,12,0,98000.0,1
38,Document Specialist,80000.0,90000.0,1.0,0.0,0.0,Radiant.digital,,,,Contract,nan,"english,visio,it,microsoftoffice,microsoftexcel,informationsystems,computerscience,2years,communicationskills,bachelor'sdegree,technicalwriting",https://www.simplyhired.com/job/UAQ9foZFtsdXnbaKcP74i7LQZbEX5K4NCZUSCpczSPVfePWilBqX7Q,Others,,,11,0,85000.0,1
39,Data Scientist,95300.0,121000.0,0.0,0.0,1.0,Expertise France,3.7,,,nan,"healthinsurance,tuitionreimbursement,paidtimeoff,dentalinsurance,visioninsurance,401(k)","datamining,dataanalysisskills,r,python,machinelearning,datavisualization,bachelor'sdegree",https://www.simplyhired.com/job/irexAe9IzNI_w3XxpEJ5vQ4Qapuxf4xjzQP6Zz7-DKyPVQN9Hpcegw,Data Scientist,,,7,6,108150.0,0
40,Entry Level Software Developer,53900.0,68200.0,0.0,0.0,1.0,CORMAC,3.0,22.0,9.0,nan,nan,"java,microsoftword,javascript,microsoftoffice,microsoftexcel,datascience,c#,computerscience,master'sdegree,bachelor'sdegree,systemdesign,softwaretroubleshooting",https://www.simplyhired.com/job/f-q449tBCLGPri3xBjRusWWPpr1VlQ0Wf9fqhn20KkcIzTZzK9SkxA,Software Developer,junior,,12,0,61050.0,0
41,Legal Data Analyst,127075.0,149500.0,0.0,0.0,1.0,Coinbase,4.1,6.0,10.0,Full-time,"healthinsurance,internetreimbursement,disabilityinsurance,paidparentalleave,cellphonereimbursement,401(k)matching,healthsavingsaccount,dentalinsurance,lifeinsurance,parentalleave,401(k),visioninsurance","generalcounsel,sql,r,datamanagement,python,analysisskills,2years,semanticweb,bachelor'sdegree,datascience,relationaldatabases",https://www.simplyhired.com/job/wROtzoKld0HqCK-zoNFFRcBziBXls2dtloxbzoQYGNn17xTzDE1sgw,Analyst,,,11,12,138287.5,1
42,Remote Software Engineer,90000.0,130000.0,0.0,0.0,1.0,OnSpot Data,,,,Full-time,"healthinsurance,paidtimeoff,flexibleschedule,parentalleave,workfromhome,401(k)","scala,agile,bachelor'sdegree,akka,computerscience,designpatterns,git,aws,softwaredevelopment,bachelorofscience,1year,full-stackdevelopment,apis",https://www.simplyhired.com/job/VGv5IwE_Fr28nP9ImqyZ8Siyhruha4UvkECqkg4oPGs2ZxyiYKm66w,Software Engineer,,Remote,13,6,110000.0,1
43,Operations Associate,50000.0,65000.0,0.0,0.0,1.0,Yieldmo,4.0,,,nan,"paidtimeoff,401(k),401(k)matching","googlesuite,microsoftoffice,supplychainmanagement,dataanalysisskills,jira,bachelor'sdegree,timemanagement",https://www.simplyhired.com/job/8rCetuCFwreMR52p-rFHaOw8oQJxatoghoyFqaG8EARF7vUjJwB5FQ,Others,,,7,3,57500.0,0
44,Software QA Tester,98100.0,124000.0,0.0,0.0,1.0,CareMetx,3.0,22.0,9.0,nan,nan,"nosql,qualitymanagement,writingskills,continuousintegration,testcases,restfulapi,javascript,microsoftoffice,jenkins,computerscience,5years,jira,python,sdlc,bachelor'sdegree,mongodb",https://www.simplyhired.com/job/QQ003XVmqYaBJrFYZ0BYNCwLT3WcYtYZShpTufINNayTuO1nR1UF0Q,Others,,,16,0,111050.0,0
45,Quality Analyst Engineer I,51200.0,64800.0,0.0,0.0,1.0,Liberty University,3.8,26.0,9.0,Full-time,nan,"tfs,eclipse,selenium,softwaredeployment,computerscience,powershell,communicationskills,googlecloudplatform,testcases,bachelor'sdegree,agile,softwaretesting,sdlc,softwaredevelopment,testautomation,azure,informationsystems,sql,jira,visualstudio",https://www.simplyhired.com/job/xP4vZx-gy2Yf0huyVQgdJjBOxZJ8iwAfbSLrqEim3sPG3-_cr3iz1A,Analyst,,,20,0,58000.0,1
46,"IT Procurement Analyst (Remote, US)",73400.0,92900.0,0.0,0.0,1.0,Openly,5.0,4.0,10.0,nan,"healthinsurance,disabilityinsurance,401(k)matching,paidtimeoff,dentalinsurance,lifeinsurance,parentalleave,401(k),flexiblespendingaccount,visioninsurance","it,computerscience,3years,itsourcing,organizationalskills,communicationskills,negotiation,bachelor'sdegree,datascience",https://www.simplyhired.com/job/ZtTQ1gMXCpVFmrHRqhvHeXYuuXO2PK-vLKNckGqSC93qd36qNGnuiw,Analyst,,Remote,9,10,83150.0,0
47,"Senior Analyst, Data & Analytics",85000.0,100000.0,0.0,0.0,1.0,A Place For Mom,4.1,29.0,9.0,Full-time,"healthinsurance,401(k)matching,paidtimeoff,dentalinsurance,visioninsurance,401(k)","informationsystems,analytics,sql,python,tableau,googleanalytics,under1year",https://www.simplyhired.com/job/BXkC1hjY9C70a6bz0m23XgnfQ0SJOEs4MwG66kizuSqBvOscxiVAVA,Analyst,senior,,7,6,92500.0,1
48,Clinicial Data Analyst,51638.0,86063.0,0.0,0.0,1.0,US Acute Care Solutions,3.4,,,Full-time,nan,"healthscience,computerscience,datamanagement,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/-S1zkSlqdS0KUiJLsdcOXkxL4GnCw6PaSV8Tn4QeOO70tF8YCNSJOQ,Analyst,,,5,0,68850.5,1
49,Support Engineer,80000.0,95000.0,0.0,0.0,1.0,Network Coverage,4.3,6.0,10.0,Full-time,"healthinsurance,401(k)matching,paidtimeoff,healthsavingsaccount,dentalinsurance,professionaldevelopmentassistance,lifeinsurance,referralprogram,parentalleave,401(k),flexiblespendingaccount,visioninsurance","computerscience,sonicwall,vsphere,supervisingexperience,googlecloudplatform,vmware,bachelor'sdegree,virtualization,intune,computernetworking,cybersecurity,aws,under1year,sharepoint,azure,computerskills,customerservice,it,gpo,activedirectory,microsoftwindowsserver",https://www.simplyhired.com/job/ij86mkl4QDdAsQbJhwah37kFLzZJcfzdJLpp5wzafvCAQoChJTqTig,Others,,,21,12,87500.0,1
50,Product Support Specialist,55000.0,60000.0,0.0,0.0,1.0,"ClassLink, Inc.",,,,Full-time,nan,"customerservice,it,sso,associate'sdegree,technicalsupport,computerscience,crmsoftware,analysisskills,communicationskills,bachelor'sdegree,1year,customersupport",https://www.simplyhired.com/job/cMwYknlGdvswEqTgs7Pqsd0SkKjqTtgul7SecJxS5EPIIUSpjYeyiA,Others,,,12,0,57500.0,1
51,Enterprise Support Specialist I,55100.0,69800.0,0.0,0.0,1.0,Feedonomics,4.9,29.0,9.0,Full-time,"healthinsurance,adoptionassistance,tuitionreimbursement,employeeassistanceprogram,referralprogram,healthsavingsaccount,dentalinsurance,lifeinsurance,parentalleave,unlimitedpaidtimeoff,petinsurance,401(k),flexiblespendingaccount,visioninsurance","xml,productmanagement,technicalsupport,computerscience,python,management,googleanalytics,communicationskills,bachelor'sdegree,1year,apis",https://www.simplyhired.com/job/GMvtEN9-wxtQEOQx3O6y1Co563MPyiesDQ2-LlVv5toWxf1xKEDn7g,Others,,,11,14,62450.0,1
52,Software Developer (Entry-Level),61200.0,77500.0,0.0,0.0,1.0,"Computer Information Systems, Inc.",4.0,,,Full-time,"healthinsurance,paidtimeoff,dentalinsurance,lifeinsurance,401(k)","t-sql,agile,oop,c#,computerscience,sql,visualstudio,applicationdevelopment,microsoftsqlserver,master'sdegree,softwaredevelopment,bachelor'sdegree,communicationskills",https://www.simplyhired.com/job/uyMuslbU1EXgNwE7vyuFlLOjuINbOKNii8wpgiQrVmPeDmxAcDyfMg,Software Developer,junior,,13,5,69350.0,1
53,Data Insights Analyst,75000.0,85000.0,0.0,0.0,1.0,InMarket,4.5,,,nan,"healthinsurance,paidparentalleave,401(k)matching,dentalinsurance,stockoptions,parentalleave,unlimitedpaidtimeoff,401(k),flexiblespendingaccount","datamodeling,analytics,communicationskills,googlecloudplatform,bachelor'sdegree,bigdata,postgresql,agile,microsoftexcel,python,aws,under1year,redshift,mysql,sql,datavisualization,dataanalysisskills,databases,digitalmarketing",https://www.simplyhired.com/job/84hk7S6R0DXURyLmhRO6obhAQ4T4y_WyWRNugyT2BK9sHiLjc4hsFg,Analyst,,,19,9,80000.0,0
54,IT Security Analyst (remote),81300.0,135500.0,0.0,0.0,1.0,KANTAR,3.7,6.0,10.0,Full-time,"healthinsurance,tuitionreimbursement,401(k)matching,commuterassistance,healthsavingsaccount,visioninsurance,unlimitedpaidtimeoff,401(k),flexiblespendingaccount,wellnessprogram","informationsecurity,it,agile,computerscience,devops,jira,4years,communicationskills,bachelor'sdegree,vulnerabilityassessment,timemanagement",https://www.simplyhired.com/job/lTy-B8aDbnFi0bjLsZPYp06G6BZj76y3zXtp3qU7Rdg-u4_EWq-Jdw,Analyst,,Remote,11,10,108400.0,1
55,Manual Tester (Remote),87200.0,110000.0,0.0,0.0,1.0,Eagle Harbor Solutions,4.0,,,nan,"healthinsurance,401(k)matching,paidtimeoff,dentalinsurance,visioninsurance,401(k),flexiblespendingaccount","qualityassurance,selenium,computerscience,git,communicationskills,softwarequalityassurance,softwaretroubleshooting,arcgis,c#,html5,3years,management,analysisskills,bachelor'sdegree,productdevelopment,webaccessibility,computerengineering,agile,gis,css,softwareengineering,java,sql,jira,usability,debugging,confluence,apis,scripting",https://www.simplyhired.com/job/BnDPl8K_pFs07-ot1kJ5lPEYct05-azCK_zgbF7fI4YlCyGvsfrEAQ,Others,,Remote,29,7,98600.0,0
56,Big Data Analyst,70000.0,120000.0,0.0,0.0,1.0,Synovize,,23.0,9.0,"Permanent,Full-time","healthinsurance,401(k)matching,paidtimeoff,dentalinsurance,flexibleschedule,visioninsurance,401(k),flexiblespendingaccount","datamodeling,analytics,spark,machinelearning,communicationskills,master'sdegree,datascience,powerbi,hadoop,secretclearance,analysisskills,bachelor'sdegree,bigdata,datawarehouse,python,tableau,sql,r,datavisualization",https://www.simplyhired.com/job/-p84glmVfr58kGaVfQr5I1iLthJ4Utr3xGALgGpY9HazuJxrXLmQuw,Analyst,,,19,8,95000.0,2
